#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::12 Condicional compuesto
#columns:Front,Back,Tags
#tags column:3
"How is the <b>Condicional compuesto</b> formed?","<b>haber in the <b>conditional</b></b> + past participle<br><br>habría · habrías · habría · habríamos · habríais · habrían<br><br>Participles: -ar → <b>-ado</b> · -er/-ir → <b>-ido</b>","condicional-compuesto formation"
"Without me, <b>you guys would have taken</b> twice as long to put the wardrobe together.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(tardar · vosotros)</span>","Sin mí, <b>habríais tardado</b> el doble en montar el armario.<br><span style='font-size:85%'>tardar — to take (time) · vosotros · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto regular en-es use-unrealised"
"Llamé a mis padres a las once, pero no contestaron: ya se <b>habrían acostado</b>.<br><i>Condicional compuesto</i>","I rang my parents at eleven but they didn't answer: <b>they must have gone</b> to bed already.<br><span style='font-size:85%'>acostarse — to go to bed · ellos · <i>conjecture about the past (must have…)</i></span>","condicional-compuesto regular es-en use-conjecture"
"The builders promised <b>they would have finished</b> the kitchen by June.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(acabar · ellos)</span>","Los obreros prometieron que <b>habrían acabado</b> la cocina para junio.<br><span style='font-size:85%'>acabar — to finish · ellos · <i>reported future perfect (dijo que habría…)</i></span>","condicional-compuesto regular en-es use-reported"
"Si no me hubieras despertado, <b>habría perdido</b> el vuelo.<br><i>Condicional compuesto</i>","If you hadn't woken me up, <b>I would have missed</b> the flight.<br><span style='font-size:85%'>perder — to miss, to lose · yo · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto regular es-en use-counterfactual"
"<b>I would have brought</b> wine, but I didn't have time to stop at the supermarket.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(traer · yo)</span>","<b>Habría traído</b> vino, pero no me dio tiempo a pasar por el súper.<br><span style='font-size:85%'>traer — to bring · yo · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto regular en-es use-unrealised"
"Si hubieras venido a clase, lo <b>habrías entendido</b>.<br><i>Condicional compuesto</i>","If you'd come to class, <b>you would have understood</b> it.<br><span style='font-size:85%'>entender — to understand · tú · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto regular es-en use-counterfactual"
"Knowing you, <b>you would have eaten</b> the whole cake.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(comerse · tú)</span>","Conociéndote, te <b>habrías comido</b> la tarta entera.<br><span style='font-size:85%'>comerse — to eat (up) · tú · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto regular en-es use-unrealised"
"<b>Habría llovido</b> por la noche, porque la calle estaba mojada.<br><i>Condicional compuesto</i>","<b>It must have rained</b> in the night, because the street was wet.<br><span style='font-size:85%'>llover — to rain · impersonal · <i>conjecture about the past (must have…)</i></span>","condicional-compuesto regular es-en use-conjecture"
"Marta told me <b>she would have sold</b> all the tickets by eight.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(vender · ella)</span>","Marta me dijo que para las ocho ya <b>habría vendido</b> todas las entradas.<br><span style='font-size:85%'>vender — to sell · ella · <i>reported future perfect (dijo que habría…)</i></span>","condicional-compuesto regular en-es use-reported"
"Nosotros, en vuestro lugar, <b>habríamos cogido</b> el tren.<br><i>Condicional compuesto</i>","If we'd been you, <b>we would have taken</b> the train.<br><span style='font-size:85%'>coger — to take, to catch · nosotros · <i>hindsight: regret, preference or criticism (yo, en tu lugar…)</i></span>","condicional-compuesto regular es-en use-regret"
"If Ana hadn't introduced us, <b>we would never have met</b>.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(conocerse · nosotros)</span>","Si Ana no nos hubiera presentado, nunca nos <b>habríamos conocido</b>.<br><span style='font-size:85%'>conocerse — to meet · nosotros · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto regular en-es use-counterfactual"
"Si hubierais estudiado, no <b>habríais suspendido</b>.<br><i>Condicional compuesto</i>","If you guys had studied, <b>you wouldn't have failed</b>.<br><span style='font-size:85%'>suspender — to fail (an exam) · vosotros · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto regular es-en use-counterfactual"
"You guys said <b>you would have tidied</b> everything up by six.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(recoger · vosotros)</span>","Dijisteis que para las seis ya <b>habríais recogido</b> todo.<br><span style='font-size:85%'>recoger — to tidy up, to clear away · vosotros · <i>reported future perfect (dijo que habría…)</i></span>","condicional-compuesto regular en-es use-reported"
"Sin la ayuda de sus padres, nunca <b>habrían podido</b> comprar el piso.<br><i>Condicional compuesto</i>","Without their parents' help, <b>they would never have been able</b> to buy the flat.<br><span style='font-size:85%'>poder — to be able to · ellos · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto regular es-en use-unrealised"
"The police found nothing: the thieves <b>must have hidden</b> the money already.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(esconder · ellos)</span>","La policía no encontró nada: los ladrones ya <b>habrían escondido</b> el dinero.<br><span style='font-size:85%'>esconder — to hide · ellos · <i>conjecture about the past (must have…)</i></span>","condicional-compuesto regular en-es use-conjecture"
"<b>Habría salido</b> con vosotros, pero tenía que trabajar.<br><i>Condicional compuesto</i>","<b>I would have gone out</b> with you guys, but I had to work.<br><span style='font-size:85%'>salir — to go out · yo · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto regular es-en use-unrealised"
"If I'd known it was your birthday, <b>I would have come</b>.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(venir · yo)</span>","Si hubiera sabido que era tu cumpleaños, <b>habría venido</b>.<br><span style='font-size:85%'>venir — to come · yo · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto regular en-es use-counterfactual"
"¿Tú qué <b>habrías elegido</b>, el piso del centro o la casa del pueblo?<br><i>Condicional compuesto</i>","What <b>would you have chosen</b>: the flat in the centre or the house in the village?<br><span style='font-size:85%'>elegir — to choose · tú · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto regular es-en use-unrealised"
"You promised me <b>you would have got</b> the tickets by today.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(conseguir · tú)</span>","Me prometiste que para hoy <b>habrías conseguido</b> las entradas.<br><span style='font-size:85%'>conseguir — to get, to manage to get · tú · <i>reported future perfect (dijo que habría…)</i></span>","condicional-compuesto regular en-es use-reported"
"Mi jefe estaba de muy buen humor: <b>habría recibido</b> buenas noticias.<br><i>Condicional compuesto</i>","My boss was in a great mood: <b>he must have received</b> some good news.<br><span style='font-size:85%'>recibir — to receive · él · <i>conjecture about the past (must have…)</i></span>","condicional-compuesto regular es-en use-conjecture"
"My grandad <b>would have turned</b> a hundred today.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(cumplir · él)</span>","Mi abuelo <b>habría cumplido</b> cien años hoy.<br><span style='font-size:85%'>cumplir — to turn (an age) · él · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto regular en-es use-unrealised"
"<b>Habríamos compartido</b> un taxi, pero cada uno iba a un sitio.<br><i>Condicional compuesto</i>","<b>We would have shared</b> a taxi, but we were all going to different places.<br><span style='font-size:85%'>compartir — to share · nosotros · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto regular es-en use-unrealised"
"We told them <b>we would have decided</b> something by Monday.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(decidir · nosotros)</span>","Les dijimos que para el lunes ya <b>habríamos decidido</b> algo.<br><span style='font-size:85%'>decidir — to decide · nosotros · <i>reported future perfect (dijo que habría…)</i></span>","condicional-compuesto regular en-es use-reported"
"Si hubierais venido a la boda, os <b>habríais divertido</b> muchísimo.<br><i>Condicional compuesto</i>","If you guys had come to the wedding, <b>you would have had</b> a great time.<br><span style='font-size:85%'>divertirse — to have fun · vosotros · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto regular es-en use-counterfactual"
"Admit it, you two: <b>you would have preferred</b> to go to the beach.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(preferir · vosotros)</span>","Reconocedlo: <b>habríais preferido</b> ir a la playa.<br><span style='font-size:85%'>preferir — to prefer · vosotros · <i>hindsight: regret, preference or criticism (yo, en tu lugar…)</i></span>","condicional-compuesto regular en-es use-regret"
"Si hubieran repartido mejor el trabajo, no <b>habrían discutido</b> tanto.<br><i>Condicional compuesto</i>","If they'd shared out the work better, <b>they wouldn't have argued</b> so much.<br><span style='font-size:85%'>discutir — to argue · ellos · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto regular es-en use-counterfactual"
"The kids had gone really quiet: <b>they must have fallen asleep</b>.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(dormirse · ellos)</span>","Los niños ya no se oían: se <b>habrían dormido</b>.<br><span style='font-size:85%'>dormirse — to fall asleep · ellos · <i>conjecture about the past (must have…)</i></span>","condicional-compuesto regular en-es use-conjecture"
"Full paradigm:<br><b>haber (auxiliary)</b> — <i>haber (auxiliary)</i><br><i>Condicional compuesto</i>","<table><tr><td>yo</td><td><b>habría</b></td></tr><tr><td>tú</td><td><b>habrías</b></td></tr><tr><td>él/ella/usted</td><td><b>habría</b></td></tr><tr><td>nosotros</td><td><b>habríamos</b></td></tr><tr><td>vosotros</td><td><b>habríais</b></td></tr><tr><td>ellos/ellas/ustedes</td><td><b>habrían</b></td></tr></table>","condicional-compuesto fullparadigm auxiliary"
"Yo, en tu lugar, lo <b>habría hecho</b> exactamente igual.<br><i>Condicional compuesto</i>","In your shoes, <b>I would have done</b> exactly the same.<br><span style='font-size:85%'>hacer — to do · yo · <i>hindsight: regret, preference or criticism (yo, en tu lugar…)</i></span>","condicional-compuesto irregular-participle es-en use-regret"
"If you'd told me, <b>I would have made</b> a cake.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(hacer · yo)</span>","Si me lo hubieras dicho, <b>habría hecho</b> una tarta.<br><span style='font-size:85%'>hacer — to make · yo · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto irregular-participle en-es use-counterfactual"
"¿Qué <b>habrías hecho</b> tú en mi situación?<br><i>Condicional compuesto</i>","What <b>would you have done</b> in my situation?<br><span style='font-size:85%'>hacer — to do · tú · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto irregular-participle es-en use-unrealised"
"If you'd had more time, <b>would you have done</b> it differently?<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(hacer · tú)</span>","Si hubieras tenido más tiempo, ¿lo <b>habrías hecho</b> de otra manera?<br><span style='font-size:85%'>hacer — to do · tú · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto irregular-participle en-es use-counterfactual"
"Pablo aprobó con nota: <b>habría hecho</b> todos los ejercicios del libro.<br><i>Condicional compuesto</i>","Pablo passed with top marks: <b>he must have done</b> every exercise in the book.<br><span style='font-size:85%'>hacer — to do · él · <i>conjecture about the past (must have…)</i></span>","condicional-compuesto irregular-participle es-en use-conjecture"
"Carmen assured me <b>she would have made</b> the booking by Monday.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(hacer · ella)</span>","Carmen me aseguró que para el lunes ya <b>habría hecho</b> la reserva.<br><span style='font-size:85%'>hacer — to make · ella · <i>reported future perfect (dijo que habría…)</i></span>","condicional-compuesto irregular-participle en-es use-reported"
"Si hubiéramos sabido que venías, <b>habríamos hecho</b> paella.<br><i>Condicional compuesto</i>","If we'd known you were coming, <b>we would have made</b> paella.<br><span style='font-size:85%'>hacer — to make · nosotros · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto irregular-participle es-en use-counterfactual"
"With more money, <b>we would have done</b> the trip in a campervan.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(hacer · nosotros)</span>","Con más dinero, <b>habríamos hecho</b> el viaje en autocaravana.<br><span style='font-size:85%'>hacer — to do · nosotros · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto irregular-participle en-es use-unrealised"
"¿Y vosotros qué <b>habríais hecho</b>? ¿Quedaros callados?<br><i>Condicional compuesto</i>","And what <b>would you guys have done</b>? Kept quiet?<br><span style='font-size:85%'>hacer — to do · vosotros · <i>hindsight: regret, preference or criticism (yo, en tu lugar…)</i></span>","condicional-compuesto irregular-participle es-en use-regret"
"You guys said <b>you would have done</b> the shopping before we got back.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(hacer · vosotros)</span>","Dijisteis que <b>habríais hecho</b> la compra antes de que volviéramos.<br><span style='font-size:85%'>hacer — to do · vosotros · <i>reported future perfect (dijo que habría…)</i></span>","condicional-compuesto irregular-participle en-es use-reported"
"Los vecinos <b>habrían hecho</b> una fiesta, porque la escalera estaba llena de botellas.<br><i>Condicional compuesto</i>","The neighbours <b>must have had</b> a party, because the stairwell was full of bottles.<br><span style='font-size:85%'>hacer — to make, to have (a party) · ellos · <i>conjecture about the past (must have…)</i></span>","condicional-compuesto irregular-participle es-en use-conjecture"
"If we'd asked them for help, <b>they would have done</b> it gladly.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(hacer · ellos)</span>","Si les hubiéramos pedido ayuda, lo <b>habrían hecho</b> encantados.<br><span style='font-size:85%'>hacer — to do · ellos · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto irregular-participle en-es use-counterfactual"
"Si me lo hubieras preguntado, te lo <b>habría dicho</b>.<br><i>Condicional compuesto</i>","If you'd asked me, <b>I would have told</b> you.<br><span style='font-size:85%'>decir — to tell · yo · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto irregular-participle es-en use-counterfactual"
"<b>I would never have said</b> that to my mother.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(decir · yo)</span>","Yo nunca le <b>habría dicho</b> eso a mi madre.<br><span style='font-size:85%'>decir — to say · yo · <i>hindsight: regret, preference or criticism (yo, en tu lugar…)</i></span>","condicional-compuesto irregular-participle en-es use-regret"
"¿Y tú qué le <b>habrías dicho</b>?<br><i>Condicional compuesto</i>","And what <b>would you have said</b> to him?<br><span style='font-size:85%'>decir — to say · tú · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto irregular-participle es-en use-unrealised"
"If you'd been there, <b>you would have said</b> the same.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(decir · tú)</span>","Si hubieras estado allí, <b>habrías dicho</b> lo mismo.<br><span style='font-size:85%'>decir — to say · tú · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto irregular-participle en-es use-counterfactual"
"Me aseguró que para entonces ya se lo <b>habría dicho</b> a su mujer.<br><i>Condicional compuesto</i>","He assured me that by then <b>he would have told</b> his wife.<br><span style='font-size:85%'>decir — to tell · él · <i>reported future perfect (dijo que habría…)</i></span>","condicional-compuesto irregular-participle es-en use-reported"
"Who told her? — Her brother <b>must have told</b> her.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(decir · él)</span>","¿Quién se lo contó? — Se lo <b>habría dicho</b> su hermano.<br><span style='font-size:85%'>decir — to tell · él · <i>conjecture about the past (must have…)</i></span>","condicional-compuesto irregular-participle en-es use-conjecture"
"<b>Habríamos dicho</b> que sí, pero ya teníamos planes.<br><i>Condicional compuesto</i>","<b>We would have said</b> yes, but we already had plans.<br><span style='font-size:85%'>decir — to say · nosotros · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto irregular-participle es-en use-unrealised"
"If we'd known he was ill, <b>we wouldn't have said</b> anything to him.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(decir · nosotros)</span>","Si hubiéramos sabido que estaba enfermo, no le <b>habríamos dicho</b> nada.<br><span style='font-size:85%'>decir — to say · nosotros · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto irregular-participle en-es use-counterfactual"
"Si os hubieran ofrecido ese trabajo, ¿qué <b>habríais dicho</b>?<br><i>Condicional compuesto</i>","If they'd offered you guys that job, what <b>would you have said</b>?<br><span style='font-size:85%'>decir — to say · vosotros · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto irregular-participle es-en use-counterfactual"
"I know you two: <b>you would have said</b> no.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(decir · vosotros)</span>","Os conozco: <b>habríais dicho</b> que no.<br><span style='font-size:85%'>decir — to say · vosotros · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto irregular-participle en-es use-unrealised"
"Los chicos no vinieron: sus padres les <b>habrían dicho</b> que no había clase.<br><i>Condicional compuesto</i>","The kids didn't come: their parents <b>must have told</b> them there was no class.<br><span style='font-size:85%'>decir — to tell · ellos · <i>conjecture about the past (must have…)</i></span>","condicional-compuesto irregular-participle es-en use-conjecture"
"The doctors said <b>they would have told</b> us something by Friday.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(decir · ellos)</span>","Los médicos dijeron que para el viernes ya nos <b>habrían dicho</b> algo.<br><span style='font-size:85%'>decir — to tell · ellos · <i>reported future perfect (dijo que habría…)</i></span>","condicional-compuesto irregular-participle en-es use-reported"
"Si hubiera llegado cinco minutos antes, te <b>habría visto</b>.<br><i>Condicional compuesto</i>","If I'd arrived five minutes earlier, <b>I would have seen</b> you.<br><span style='font-size:85%'>ver — to see · yo · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto irregular-participle es-en use-counterfactual"
"<b>I would have seen</b> the film, but the tickets were sold out.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(ver · yo)</span>","<b>Habría visto</b> la película, pero las entradas estaban agotadas.<br><span style='font-size:85%'>ver — to see · yo · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto irregular-participle en-es use-unrealised"
"Si hubieras mirado bien, <b>habrías visto</b> el cartel.<br><i>Condicional compuesto</i>","If you'd looked properly, <b>you would have seen</b> the sign.<br><span style='font-size:85%'>ver — to see · tú · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto irregular-participle es-en use-counterfactual"
"You told me <b>you would have seen</b> the flat by Saturday.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(ver · tú)</span>","Me dijiste que para el sábado ya <b>habrías visto</b> el piso.<br><span style='font-size:85%'>ver — to see · tú · <i>reported future perfect (dijo que habría…)</i></span>","condicional-compuesto irregular-participle en-es use-reported"
"Marcos sabía el final: ya <b>habría visto</b> la serie.<br><i>Condicional compuesto</i>","Marcos knew the ending: <b>he must have seen</b> the series already.<br><span style='font-size:85%'>ver — to see · él · <i>conjecture about the past (must have…)</i></span>","condicional-compuesto irregular-participle es-en use-conjecture"
"If she'd been paying attention, <b>she would have seen</b> the red light.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(ver · ella)</span>","Si ella hubiera prestado atención, <b>habría visto</b> el semáforo en rojo.<br><span style='font-size:85%'>ver — to see · ella · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto irregular-participle en-es use-counterfactual"
"Desde el hotel <b>habríamos visto</b> el mar, pero nos dieron una habitación interior.<br><i>Condicional compuesto</i>","From the hotel <b>we would have seen</b> the sea, but they gave us a room at the back.<br><span style='font-size:85%'>ver — to see · nosotros · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto irregular-participle es-en use-unrealised"
"If we'd stayed another day, <b>we would have seen</b> the Alhambra.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(ver · nosotros)</span>","Si nos hubiéramos quedado un día más, <b>habríamos visto</b> la Alhambra.<br><span style='font-size:85%'>ver — to see · nosotros · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto irregular-participle en-es use-counterfactual"
"Si hubierais venido anoche, <b>habríais visto</b> los fuegos artificiales.<br><i>Condicional compuesto</i>","If you guys had come last night, <b>you would have seen</b> the fireworks.<br><span style='font-size:85%'>ver — to see · vosotros · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto irregular-participle es-en use-counterfactual"
"From the back row <b>you guys wouldn't have seen</b> a thing.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(ver · vosotros)</span>","Desde la última fila no <b>habríais visto</b> nada.<br><span style='font-size:85%'>ver — to see · vosotros · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto irregular-participle en-es use-unrealised"
"Nadie se sorprendió: ya lo <b>habrían visto</b> en las noticias.<br><i>Condicional compuesto</i>","Nobody was surprised: <b>they must have seen</b> it on the news already.<br><span style='font-size:85%'>ver — to see · ellos · <i>conjecture about the past (must have…)</i></span>","condicional-compuesto irregular-participle es-en use-conjecture"
"The surveyors said <b>they would have seen</b> all the flats by Friday.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(ver · ellos)</span>","Los técnicos dijeron que para el viernes ya <b>habrían visto</b> todos los pisos.<br><span style='font-size:85%'>ver — to see · ellos · <i>reported future perfect (dijo que habría…)</i></span>","condicional-compuesto irregular-participle en-es use-reported"
"Yo <b>habría puesto</b> el sofá junto a la ventana.<br><i>Condicional compuesto</i>","<b>I would have put</b> the sofa by the window.<br><span style='font-size:85%'>poner — to put · yo · <i>hindsight: regret, preference or criticism (yo, en tu lugar…)</i></span>","condicional-compuesto irregular-participle es-en use-regret"
"If I'd known it was going to be cold, <b>I would have put on</b> a jumper.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(ponerse · yo)</span>","Si hubiera sabido que iba a hacer frío, me <b>habría puesto</b> un jersey.<br><span style='font-size:85%'>ponerse — to put on (clothes) · yo · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto irregular-participle en-es use-counterfactual"
"Tú le <b>habrías puesto</b> más sal, ¿verdad?<br><i>Condicional compuesto</i>","<b>You would have put</b> more salt in it, wouldn't you?<br><span style='font-size:85%'>poner — to put · tú · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto irregular-participle es-en use-unrealised"
"If you'd read the email, <b>you would have put</b> the right date.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(poner · tú)</span>","Si hubieras leído el correo, <b>habrías puesto</b> la fecha correcta.<br><span style='font-size:85%'>poner — to put (write) · tú · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto irregular-participle en-es use-counterfactual"
"Alguien <b>habría puesto</b> la calefacción, porque hacía un calor tremendo.<br><i>Condicional compuesto</i>","Someone <b>must have put</b> the heating on, because it was boiling.<br><span style='font-size:85%'>poner — to put on (heating) · él · <i>conjecture about the past (must have…)</i></span>","condicional-compuesto irregular-participle es-en use-conjecture"
"The teacher said <b>she would have put up</b> the marks by Friday.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(poner · ella)</span>","La profesora dijo que para el viernes ya <b>habría puesto</b> las notas.<br><span style='font-size:85%'>poner — to put up (marks) · ella · <i>reported future perfect (dijo que habría…)</i></span>","condicional-compuesto irregular-participle en-es use-reported"
"<b>Habríamos puesto</b> una lavadora, pero no había detergente.<br><i>Condicional compuesto</i>","<b>We would have put</b> a wash on, but there was no detergent.<br><span style='font-size:85%'>poner — to put on (a wash) · nosotros · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto irregular-participle es-en use-unrealised"
"If we'd had more time, <b>we would have put up</b> decorations.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(poner · nosotros)</span>","Si hubiéramos tenido más tiempo, <b>habríamos puesto</b> adornos.<br><span style='font-size:85%'>poner — to put up · nosotros · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto irregular-participle en-es use-counterfactual"
