#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::06 Condicional simple
#columns:Front,Back,Tags
#tags column:3
"How is the <b>condicional simple</b> formed?","<b>Whole infinitive</b> + ía · ías · ía · íamos · íais · ían<br><br>Identical for -ar, -er and -ir. Every form carries an accent on the <b>í</b>.","condicional-simple formation"
"They said <b>they'd open</b> the pool in June, and it's still closed.<br><i>Condicional simple</i><br><span style='font-size:80%'>(abrir · ellos)</span>","Dijeron que <b>abrirían</b> la piscina en junio, y todavía está cerrada.<br><span style='font-size:85%'>abrir — to open · ellos · <i>future-in-the-past (reported speech)</i></span>","condicional-simple regular en-es use-reported"
"Yo que tú, <b>tendría</b> cuidado con ese tío.<br><i>Condicional simple</i>","If I were you, <b>I'd be</b> careful with that guy.<br><span style='font-size:85%'>tener — to have · yo · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular es-en use-advice"
"In your shoes, <b>I'd have</b> a word with him.<br><i>Condicional simple</i><br><span style='font-size:80%'>(tener · yo)</span>","Yo en tu lugar <b>tendría</b> una charla con él.<br><span style='font-size:85%'>tener — to have · yo · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular en-es use-advice"
"<b>Tendrías</b> unos cinco años cuando nos mudamos a Valencia.<br><i>Condicional simple</i>","<b>You must have been</b> about five when we moved to Valencia.<br><span style='font-size:85%'>tener — to have (age) · tú · <i>conjecture about the past</i></span>","condicional-simple irregular es-en use-conjecture"
"I thought <b>you'd be</b> hungry, so I've saved you a plate.<br><i>Condicional simple</i><br><span style='font-size:80%'>(tener · tú)</span>","Pensé que <b>tendrías</b> hambre, así que te he guardado un plato.<br><span style='font-size:85%'>tener — to have (tener hambre = to be hungry) · tú · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"La casa <b>tendría</b> más de cien años cuando la compraron.<br><i>Condicional simple</i>","The house <b>must have been</b> over a hundred years old when they bought it.<br><span style='font-size:85%'>tener — to have (age) · él · <i>conjecture about the past</i></span>","condicional-simple irregular es-en use-conjecture"
"(In a shop) <b>Would you have</b> this in a smaller size?<br><i>Condicional simple</i><br><span style='font-size:80%'>(tener · usted)</span>","¿<b>Tendría</b> esto en una talla más pequeña?<br><span style='font-size:85%'>tener — to have · usted · <i>politeness / softening</i></span>","condicional-simple irregular en-es use-politeness"
"<b>Tendríamos</b> que irnos ya, que perdemos el tren.<br><i>Condicional simple</i>","<b>We ought to</b> go now or we'll miss the train.<br><span style='font-size:85%'>tener — to have (tener que = to have to) · nosotros · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular es-en use-advice"
"If we moved to Madrid, <b>we'd have</b> to pay twice as much rent.<br><i>Condicional simple</i><br><span style='font-size:80%'>(tener · nosotros)</span>","Si nos mudáramos a Madrid, <b>tendríamos</b> que pagar el doble de alquiler.<br><span style='font-size:85%'>tener — to have (tener que = to have to) · nosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"<b>Tendríais</b> que reservar con antelación; en agosto se llena todo.<br><i>Condicional simple</i>","<b>You guys ought to</b> book ahead — everywhere fills up in August.<br><span style='font-size:85%'>tener — to have (tener que = to have to) · vosotros · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular es-en use-advice"
"You guys said <b>you'd have</b> it ready by Friday.<br><i>Condicional simple</i><br><span style='font-size:80%'>(tener · vosotros)</span>","Dijisteis que lo <b>tendríais</b> listo para el viernes.<br><span style='font-size:85%'>tener — to have · vosotros · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"<b>Tendrían</b> prisa, porque se fueron sin despedirse.<br><i>Condicional simple</i>","<b>They must have been</b> in a hurry, because they left without saying goodbye.<br><span style='font-size:85%'>tener — to have (tener prisa = to be in a hurry) · ellos · <i>conjecture about the past</i></span>","condicional-simple irregular es-en use-conjecture"
"Without the grant, <b>they'd have</b> to drop out of university.<br><i>Condicional simple</i><br><span style='font-size:80%'>(tener · ellos)</span>","Sin la beca, <b>tendrían</b> que dejar la carrera.<br><span style='font-size:85%'>tener — to have (tener que = to have to) · ellos · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"Yo que tú, me <b>pondría</b> el abrigo; hace un frío que pela.<br><i>Condicional simple</i>","If I were you, <b>I'd put on</b> a coat — it's freezing out.<br><span style='font-size:85%'>ponerse — to put on (clothes) · yo · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular es-en use-advice"
"<b>I'd put</b> the sofa by the window — don't you think?<br><i>Condicional simple</i><br><span style='font-size:80%'>(poner · yo)</span>","Yo <b>pondría</b> el sofá junto a la ventana, ¿no crees?<br><span style='font-size:85%'>poner — to put · yo · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular en-es use-advice"
"¿Me <b>pondrías</b> otra caña?<br><i>Condicional simple</i>","(At the bar) <b>Could you get</b> me another beer?<br><span style='font-size:85%'>poner — to put, to serve (in a bar) · tú · <i>politeness / softening</i></span>","condicional-simple irregular es-en use-politeness"
"I knew <b>you'd get</b> nervous.<br><i>Condicional simple</i><br><span style='font-size:80%'>(ponerse · tú)</span>","Sabía que te <b>pondrías</b> nerviosa.<br><span style='font-size:85%'>ponerse — to get (nervous, etc.) · tú · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"¿Me <b>pondría</b> medio kilo de tomates, por favor?<br><i>Condicional simple</i>","(At the market) <b>Could you give</b> me half a kilo of tomatoes, please?<br><span style='font-size:85%'>poner — to put, to give (in a shop) · usted · <i>politeness / softening</i></span>","condicional-simple irregular es-en use-politeness"
"Who put this here? — <b>Your dad must have put</b> it there.<br><i>Condicional simple</i><br><span style='font-size:80%'>(poner · él)</span>","¿Quién puso esto aquí? —Lo <b>pondría</b> tu padre.<br><span style='font-size:85%'>poner — to put · él · <i>conjecture about the past</i></span>","condicional-simple irregular en-es use-conjecture"
"Dijimos que <b>pondríamos</b> veinte euros cada uno para el regalo.<br><i>Condicional simple</i>","We said <b>we'd put in</b> twenty euros each for the present.<br><span style='font-size:85%'>poner — to put (in) · nosotros · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular es-en use-reported"
"If we had a house with a garden, <b>we'd put in</b> a pool.<br><i>Condicional simple</i><br><span style='font-size:80%'>(poner · nosotros)</span>","Si tuviéramos una casa con jardín, <b>pondríamos</b> una piscina.<br><span style='font-size:85%'>poner — to put (in) · nosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"¿Dónde <b>pondríais</b> vosotros la tele, aquí o en esa pared?<br><i>Condicional simple</i>","Where <b>would you guys put</b> the TV — here or on that wall?<br><span style='font-size:85%'>poner — to put · vosotros · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular es-en use-advice"
"<b>Would you two lay</b> the table while I finish dinner?<br><i>Condicional simple</i><br><span style='font-size:80%'>(poner · vosotros)</span>","¿<b>Pondríais</b> la mesa mientras termino la cena?<br><span style='font-size:85%'>poner — to put (poner la mesa = to lay the table) · vosotros · <i>politeness / softening</i></span>","condicional-simple irregular en-es use-politeness"
"Le <b>pondrían</b> una multa, porque volvió de muy mal humor.<br><i>Condicional simple</i>","<b>They must have given</b> him a fine, because he came back in a foul mood.<br><span style='font-size:85%'>poner — to put (poner una multa = to fine) · ellos · <i>conjecture about the past</i></span>","condicional-simple irregular es-en use-conjecture"
"They said <b>they'd put</b> the marks up online on Monday.<br><i>Condicional simple</i><br><span style='font-size:80%'>(poner · ellos)</span>","Dijeron que <b>pondrían</b> las notas en la web el lunes.<br><span style='font-size:85%'>poner — to put (up) · ellos · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"Le dije a Marta que <b>vendría</b>, pero me ha surgido algo.<br><i>Condicional simple</i>","I told Marta <b>I'd come</b>, but something's come up.<br><span style='font-size:85%'>venir — to come · yo · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular es-en use-reported"
"<b>I'd come</b> with you guys if I didn't have to work.<br><i>Condicional simple</i><br><span style='font-size:80%'>(venir · yo)</span>","<b>Vendría</b> con vosotros si no tuviera que trabajar.<br><span style='font-size:85%'>venir — to come · yo · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"¿<b>Vendrías</b> conmigo al médico mañana? No quiero ir sola.<br><i>Condicional simple</i>","<b>Would you come</b> with me to the doctor's tomorrow? I don't want to go on my own.<br><span style='font-size:85%'>venir — to come · tú · <i>politeness / softening</i></span>","condicional-simple irregular es-en use-politeness"
"If I invited you to my wedding, <b>would you come</b>?<br><i>Condicional simple</i><br><span style='font-size:80%'>(venir · tú)</span>","Si te invitara a mi boda, ¿<b>vendrías</b>?<br><span style='font-size:85%'>venir — to come · tú · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"<b>Vendría</b> cansado del viaje, porque se acostó nada más cenar.<br><i>Condicional simple</i>","<b>He must have been</b> tired from the journey, because he went to bed straight after dinner.<br><span style='font-size:85%'>venir — to come · él · <i>conjecture about the past</i></span>","condicional-simple irregular es-en use-conjecture"
"The plumber said <b>he'd come</b> on Tuesday.<br><i>Condicional simple</i><br><span style='font-size:80%'>(venir · él)</span>","El fontanero dijo que <b>vendría</b> el martes.<br><span style='font-size:85%'>venir — to come · él · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"Les prometimos que <b>vendríamos</b> a verlos en Navidad.<br><i>Condicional simple</i>","We promised <b>we'd come</b> and see them at Christmas.<br><span style='font-size:85%'>venir — to come · nosotros · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular es-en use-reported"
"<b>We'd come</b> more often if it weren't so far.<br><i>Condicional simple</i><br><span style='font-size:80%'>(venir · nosotros)</span>","<b>Vendríamos</b> más a menudo si no estuviera tan lejos.<br><span style='font-size:85%'>venir — to come · nosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"¿<b>Vendríais</b> a cenar el sábado? Hago paella.<br><i>Condicional simple</i>","<b>Would you guys come</b> round for dinner on Saturday? I'm making paella.<br><span style='font-size:85%'>venir — to come · vosotros · <i>politeness / softening</i></span>","condicional-simple irregular es-en use-politeness"
"You guys <b>must have been</b> shattered after the hike, right?<br><i>Condicional simple</i><br><span style='font-size:80%'>(venir · vosotros)</span>","<b>Vendríais</b> reventados después de la excursión, ¿no?<br><span style='font-size:85%'>venir — to come · vosotros · <i>conjecture about the past</i></span>","condicional-simple irregular en-es use-conjecture"
"Unos días de descanso te <b>vendrían</b> genial.<br><i>Condicional simple</i>","A few days off <b>would do</b> you the world of good.<br><span style='font-size:85%'>venir — to come (venir bien = to do good) · ellos · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular es-en use-advice"
"How many people came? — <b>There must have been</b> about fifty.<br><i>Condicional simple</i><br><span style='font-size:80%'>(venir · ellos)</span>","¿Cuánta gente vino? —<b>Vendrían</b> unas cincuenta personas.<br><span style='font-size:85%'>venir — to come · ellos · <i>conjecture about the past</i></span>","condicional-simple irregular en-es use-conjecture"
"Yo que tú, <b>saldría</b> antes para evitar el atasco.<br><i>Condicional simple</i>","If I were you, <b>I'd leave</b> earlier to avoid the traffic jam.<br><span style='font-size:85%'>salir — to leave · yo · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular es-en use-advice"
"If I weren't so tired, <b>I'd go out</b> tonight.<br><i>Condicional simple</i><br><span style='font-size:80%'>(salir · yo)</span>","Si no estuviera tan cansada, <b>saldría</b> esta noche.<br><span style='font-size:85%'>salir — to go out · yo · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"¿<b>Saldrías</b> con alguien que no quisiera tener hijos?<br><i>Condicional simple</i>","<b>Would you go out</b> with someone who didn't want kids?<br><span style='font-size:85%'>salir — to go out (with someone) · tú · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular es-en use-hypothetical"
"You said <b>you'd leave</b> work early today.<br><i>Condicional simple</i><br><span style='font-size:80%'>(salir · tú)</span>","Dijiste que hoy <b>saldrías</b> antes del trabajo.<br><span style='font-size:85%'>salir — to leave · tú · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"El vuelo <b>saldría</b> con retraso, porque llegaron a las tantas.<br><i>Condicional simple</i>","The flight <b>must have left</b> late, because they got in at some ungodly hour.<br><span style='font-size:85%'>salir — to leave, to depart · él · <i>conjecture about the past</i></span>","condicional-simple irregular es-en use-conjecture"
"My mum told me <b>she'd get out</b> of work at six.<br><i>Condicional simple</i><br><span style='font-size:80%'>(salir · ella)</span>","Mi madre me dijo que <b>saldría</b> de trabajar a las seis.<br><span style='font-size:85%'>salir — to get out (of work) · ella · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"Si alquiláramos en vez de comprar, <b>saldríamos</b> ganando.<br><i>Condicional simple</i>","If we rented instead of buying, <b>we'd come out</b> ahead.<br><span style='font-size:85%'>salir — to come out (salir ganando = to come out ahead) · nosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular es-en use-hypothetical"
"<b>We must have left</b> around seven, more or less.<br><i>Condicional simple</i><br><span style='font-size:80%'>(salir · nosotros)</span>","<b>Saldríamos</b> sobre las siete, más o menos.<br><span style='font-size:85%'>salir — to leave · nosotros · <i>conjecture about the past</i></span>","condicional-simple irregular en-es use-conjecture"
"Pensaba que <b>saldríais</b> más tarde; todavía no tengo la cena hecha.<br><i>Condicional simple</i>","I thought <b>you guys would leave</b> later — I haven't even got dinner ready yet.<br><span style='font-size:85%'>salir — to leave · vosotros · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular es-en use-reported"
"<b>Would you guys go</b> running in this heat?<br><i>Condicional simple</i><br><span style='font-size:80%'>(salir · vosotros)</span>","¿<b>Saldríais</b> a correr con este calor?<br><span style='font-size:85%'>salir — to go out · vosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"<b>Saldrían</b> tarde de la fiesta, porque hoy no se han levantado hasta las dos.<br><i>Condicional simple</i>","<b>They must have left</b> the party late, because today they didn't get up until two.<br><span style='font-size:85%'>salir — to leave · ellos · <i>conjecture about the past</i></span>","condicional-simple irregular es-en use-conjecture"
"The kids said <b>they'd go out</b> for a bit after dinner.<br><i>Condicional simple</i><br><span style='font-size:80%'>(salir · ellos)</span>","Los chicos dijeron que <b>saldrían</b> un rato después de cenar.<br><span style='font-size:85%'>salir — to go out · ellos · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"Yo no <b>valdría</b> para profesor; no tengo paciencia.<br><i>Condicional simple</i>","<b>I wouldn't be cut out</b> to be a teacher — I've got no patience.<br><span style='font-size:85%'>valer — to be worth (valer para = to be cut out for) · yo · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular es-en use-hypothetical"
"Do you think <b>I'd be any good</b> at this job?<br><i>Condicional simple</i><br><span style='font-size:80%'>(valer · yo)</span>","¿Crees que <b>valdría</b> para este trabajo?<br><span style='font-size:85%'>valer — to be worth (valer para = to be good at) · yo · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"Tú <b>valdrías</b> para abogada, con lo que te gusta discutir.<br><i>Condicional simple</i>","<b>You'd make</b> a good lawyer, the way you love to argue.<br><span style='font-size:85%'>valer — to be worth (valer para = to be good at) · tú · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular es-en use-hypothetical"
"I always knew <b>you'd be good</b> at this.<br><i>Condicional simple</i><br><span style='font-size:80%'>(valer · tú)</span>","Siempre supe que <b>valdrías</b> para esto.<br><span style='font-size:85%'>valer — to be worth (valer para = to be good at) · tú · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"<b>Valdría</b> la pena preguntar antes de comprarlo.<br><i>Condicional simple</i>","<b>It would be</b> worth asking before you buy it.<br><span style='font-size:85%'>valer — to be worth (valer la pena = to be worth it) · impersonal · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular es-en use-advice"
"That painting <b>must have been worth</b> a fortune back then.<br><i>Condicional simple</i><br><span style='font-size:80%'>(valer · él)</span>","Ese cuadro <b>valdría</b> una fortuna en aquella época.<br><span style='font-size:85%'>valer — to be worth · él · <i>conjecture about the past</i></span>","condicional-simple irregular en-es use-conjecture"
"Nosotros no <b>valdríamos</b> para vivir en el campo; nos aburriríamos.<br><i>Condicional simple</i>","<b>We wouldn't be cut out</b> for country life — we'd get bored.<br><span style='font-size:85%'>valer — to be worth (valer para = to be cut out for) · nosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular es-en use-hypothetical"
