#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::07 Imperfecto de subjuntivo
#columns:Front,Back,Tags
#tags column:3
"How is the <b>imperfecto de subjuntivo</b> formed?","Take the <b>ellos form of the preterite</b>, drop <b>-ron</b>, add:<br><br><b>-ra set</b>: ra · ras · ra · ramos · rais · ran<br><b>-se set</b>: se · ses · se · semos · seis · sen<br><br>hablaron → habla- · comieron → comie- · fueron → fue-<br><br><b>No exceptions at all.</b> The nosotros form takes an accent: habláramos.","imperfecto-subjuntivo formation"
"El médico me dijo que <b>comiera</b> menos sal.<br><i>Imperfecto de subjuntivo</i>","The doctor told me <b>to eat</b> less salt.<br><span style='font-size:85%'>comer — to eat · yo · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo regular es-en use-wish"
"My parents sent me to Ireland so that <b>I would learn</b> English.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(aprender · yo)</span>","Mis padres me mandaron a Irlanda para que <b>aprendiera</b> inglés.<br><span style='font-size:85%'>aprender — to learn · yo · <i>para que / antes de que / sin que (past)</i></span>","imperfecto-subjuntivo regular en-es use-purpose"
"Si <b>bebieras</b> menos café, dormirías mejor.<br><i>Imperfecto de subjuntivo</i>","If <b>you drank</b> less coffee, you'd sleep better.<br><span style='font-size:85%'>beber — to drink · tú · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo regular es-en use-si-clause"
"You were nodding as if <b>you understood</b> everything.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(entender · tú)</span>","Asentías como si lo <b>entendieras</b> todo.<br><span style='font-size:85%'>entender — to understand · tú · <i>como si: as if</i></span>","imperfecto-subjuntivo regular en-es use-como-si"
"Ojalá <b>lloviera</b> un poco; el campo está muy seco.<br><i>Imperfecto de subjuntivo</i>","I wish <b>it would rain</b> a bit; the fields are really dry.<br><span style='font-size:85%'>llover — to rain · impersonal · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo regular es-en use-ojala"
"Nobody thought <b>he'd come back</b> to the village.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(volver · él)</span>","Nadie pensaba que <b>volviera</b> al pueblo.<br><span style='font-size:85%'>volver — to come back · él · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo regular en-es use-doubt"
"A mi abuela le dio mucha pena que <b>vendiéramos</b> la casa del pueblo.<br><i>Imperfecto de subjuntivo</i>","My gran was really sad that <b>we sold</b> the house in the village.<br><span style='font-size:85%'>vender — to sell · nosotros · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo regular es-en use-emotion"
"(Running for the train) If <b>we ran</b>, we'd still catch it.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(correr · nosotros)</span>","Si <b>corriéramos</b>, todavía lo cogeríamos.<br><span style='font-size:85%'>correr — to run · nosotros · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo regular en-es use-si-clause"
"Os dije que <b>cogierais</b> un taxi, no el autobús.<br><i>Imperfecto de subjuntivo</i>","I told you guys <b>to take</b> a taxi, not the bus.<br><span style='font-size:85%'>coger — to take · vosotros · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo regular es-en use-wish"
"I woke you two up early so that <b>you wouldn't miss</b> the flight.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(perder · vosotros)</span>","Os desperté pronto para que no <b>perdierais</b> el vuelo.<br><span style='font-size:85%'>perder — to miss (a train, flight…) · vosotros · <i>para que / antes de que / sin que (past)</i></span>","imperfecto-subjuntivo regular en-es use-purpose"
"En la fiesta, mis padres se comportaban como si no se <b>conocieran</b>.<br><i>Imperfecto de subjuntivo</i>","At the party, my parents acted as if <b>they didn't know</b> each other.<br><span style='font-size:85%'>conocerse — to know each other · ellos · <i>como si: as if</i></span>","imperfecto-subjuntivo regular es-en use-como-si"
"It annoyed me that <b>they didn't answer</b> my emails.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(responder · ellos)</span>","Me molestó que no <b>respondieran</b> a mis correos.<br><span style='font-size:85%'>responder — to answer · ellos · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo regular en-es use-emotion"
"Mi madre siempre me pedía que <b>metiese</b> la ropa en la lavadora.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","My mum was always asking <b>me to put</b> my clothes in the washing machine.<br><span style='font-size:85%'>meter — to put (in) · yo · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo se-forms es-en use-wish"
"Me dolió que <b>rompieses</b> tu promesa.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","It hurt me that <b>you broke</b> your promise.<br><span style='font-size:85%'>romper — to break · tú · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo se-forms es-en use-emotion"
"No creía que mi hermano me <b>devolviese</b> el dinero.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","I didn't think my brother <b>would give</b> me the money back.<br><span style='font-size:85%'>devolver — to give back · él · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo se-forms es-en use-doubt"
"Mi suegra insistió en que <b>comiésemos</b> con ellos el domingo.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","My mother-in-law insisted that <b>we have lunch</b> with them on Sunday.<br><span style='font-size:85%'>comer — to eat, to have lunch · nosotros · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo se-forms es-en use-wish"
"Vuestros padres querían que <b>crecieseis</b> en el campo.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","Your parents wanted <b>you to grow up</b> in the countryside.<br><span style='font-size:85%'>crecer — to grow up · vosotros · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo se-forms es-en use-wish"
"Si me <b>ofreciesen</b> ese puesto, lo aceptaría sin pensarlo.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","If <b>they offered</b> me that job, I'd take it without thinking twice.<br><span style='font-size:85%'>ofrecer — to offer · ellos · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo se-forms es-en use-si-clause"
"Si <b>viviera</b> más cerca de la oficina, me ahorraría una hora al día.<br><i>Imperfecto de subjuntivo</i>","If <b>I lived</b> closer to the office, I'd save an hour a day.<br><span style='font-size:85%'>vivir — to live · yo · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo regular es-en use-si-clause"
"My gran wanted <b>me to write</b> to her every week.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(escribir · yo)</span>","Mi abuela quería que le <b>escribiera</b> todas las semanas.<br><span style='font-size:85%'>escribir — to write · yo · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo regular en-es use-wish"
"Ojalá te <b>decidieras</b> de una vez.<br><i>Imperfecto de subjuntivo</i>","I wish <b>you'd make up</b> your mind once and for all.<br><span style='font-size:85%'>decidirse — to make up one's mind · tú · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo regular es-en use-ojala"
"I asked <b>you to come up</b> for a minute, not to stay all afternoon.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(subir · tú)</span>","Te pedí que <b>subieras</b> un momento, no que te quedaras toda la tarde.<br><span style='font-size:85%'>subir — to come up · tú · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo regular en-es use-wish"
"Llamé al portero para que nos <b>abriera</b> la puerta.<br><i>Imperfecto de subjuntivo</i>","I rang the porter so that <b>he'd open</b> the door for us.<br><span style='font-size:85%'>abrir — to open · él · <i>para que / antes de que / sin que (past)</i></span>","imperfecto-subjuntivo regular es-en use-purpose"
"I found it odd that <b>she didn't get</b> my message.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(recibir · ella)</span>","Me extrañó que no <b>recibiera</b> mi mensaje.<br><span style='font-size:85%'>recibir — to get, to receive · ella · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo regular en-es use-emotion"
"Mi madre siempre quería que <b>compartiéramos</b> los juguetes.<br><i>Imperfecto de subjuntivo</i>","My mum always wanted <b>us to share</b> our toys.<br><span style='font-size:85%'>compartir — to share · nosotros · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo regular es-en use-wish"
"I wish <b>we went out</b> more often, just the two of us.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(salir · nosotros)</span>","Ojalá <b>saliéramos</b> más a menudo, los dos solos.<br><span style='font-size:85%'>salir — to go out · nosotros · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo regular en-es use-ojala"
"Me ponía nerviosa que <b>discutierais</b> delante de los niños.<br><i>Imperfecto de subjuntivo</i>","It made me nervous when <b>you two argued</b> in front of the kids.<br><span style='font-size:85%'>discutir — to argue · vosotros · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo regular es-en use-emotion"
"I didn't think <b>you guys would attend</b> the wedding.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(asistir · vosotros)</span>","No pensaba que <b>asistierais</b> a la boda.<br><span style='font-size:85%'>asistir — to attend · vosotros · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo regular en-es use-doubt"
"Mi abuelo quería que sus hijos se <b>repartieran</b> la herencia a partes iguales.<br><i>Imperfecto de subjuntivo</i>","My grandad wanted his children <b>to split</b> the inheritance equally.<br><span style='font-size:85%'>repartirse — to share out · ellos · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo regular es-en use-wish"
"We were looking for hotels that <b>allowed</b> dogs.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(admitir · ellos)</span>","Buscábamos hoteles que <b>admitieran</b> perros.<br><span style='font-size:85%'>admitir — to allow, to accept · ellos · <i>unknown or hypothetical antecedent (past)</i></span>","imperfecto-subjuntivo regular en-es use-relative"
"A mis padres no les hacía gracia que yo <b>viviese</b> solo en Madrid.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","My parents weren't keen on <b>me living</b> alone in Madrid.<br><span style='font-size:85%'>vivir — to live · yo · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo se-forms es-en use-emotion"
"Si <b>escribieses</b> con más calma, cometerías menos faltas.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","If <b>you wrote</b> more slowly, you'd make fewer mistakes.<br><span style='font-size:85%'>escribir — to write · tú · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo se-forms es-en use-si-clause"
"Le rogué que no <b>decidiese</b> nada sin hablar conmigo.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","I begged him <b>not to decide</b> anything without talking to me.<br><span style='font-size:85%'>decidir — to decide · él · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo se-forms es-en use-wish"
"Mi suegra nos trata como si todavía <b>viviésemos</b> con ella.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","My mother-in-law treats us as if <b>we still lived</b> with her.<br><span style='font-size:85%'>vivir — to live · nosotros · <i>como si: as if</i></span>","imperfecto-subjuntivo se-forms es-en use-como-si"
"No quería que <b>sufrieseis</b> por mi culpa.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","I didn't want <b>you guys to suffer</b> because of me.<br><span style='font-size:85%'>sufrir — to suffer · vosotros · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo se-forms es-en use-wish"
"Dejé la puerta abierta para que los perros <b>saliesen</b> al jardín.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","I left the door open so that the dogs <b>could go out</b> into the garden.<br><span style='font-size:85%'>salir — to go out · ellos · <i>para que / antes de que / sin que (past)</i></span>","imperfecto-subjuntivo se-forms es-en use-purpose"
"Si yo <b>fuera</b> tú, no le diría nada.<br><i>Imperfecto de subjuntivo</i>","If <b>I were</b> you, I wouldn't say anything to him.<br><span style='font-size:85%'>ser — to be · yo · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular es-en use-si-clause"
"My friends wanted <b>me to go</b> to Ibiza with them.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(ir · yo)</span>","Mis amigos querían que <b>fuera</b> con ellos a Ibiza.<br><span style='font-size:85%'>ir — to go · yo · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo irregular en-es use-wish"
"Me hablas como si <b>fueras</b> mi madre.<br><i>Imperfecto de subjuntivo</i>","You talk to me as if <b>you were</b> my mother.<br><span style='font-size:85%'>ser — to be · tú · <i>como si: as if</i></span>","imperfecto-subjuntivo irregular es-en use-como-si"
"I didn't like <b>you going</b> home alone so late.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(ir · tú)</span>","No me gustaba que <b>fueras</b> sola a casa tan tarde.<br><span style='font-size:85%'>ir — to go · tú · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-emotion"
"Nunca pensé que tu hermano <b>fuera</b> tan simpático.<br><i>Imperfecto de subjuntivo</i>","I never thought your brother <b>was</b> so nice.<br><span style='font-size:85%'>ser — to be · él · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-doubt"
"I wish <b>he'd go</b> to the doctor; he's been coughing for weeks.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(ir · él)</span>","Ojalá <b>fuera</b> al médico; lleva semanas tosiendo.<br><span style='font-size:85%'>ir — to go · él · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo irregular en-es use-ojala"
"Mi padre nos dio dinero para que <b>fuéramos</b> al cine.<br><i>Imperfecto de subjuntivo</i>","My dad gave us money so <b>we could go</b> to the cinema.<br><span style='font-size:85%'>ir — to go · nosotros · <i>para que / antes de que / sin que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-purpose"
"If <b>we were</b> rich, we'd buy ourselves a house by the sea.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(ser · nosotros)</span>","Si <b>fuéramos</b> ricos, nos compraríamos una casa junto al mar.<br><span style='font-size:85%'>ser — to be · nosotros · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular en-es use-si-clause"
"Os comportáis como si <b>fuerais</b> niños pequeños.<br><i>Imperfecto de subjuntivo</i>","You guys are behaving as if <b>you were</b> little kids.<br><span style='font-size:85%'>ser — to be · vosotros · <i>como si: as if</i></span>","imperfecto-subjuntivo irregular es-en use-como-si"
"I'd rather <b>you two went</b> without me.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(ir · vosotros)</span>","Preferiría que <b>fuerais</b> sin mí.<br><span style='font-size:85%'>ir — to go · vosotros · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo irregular en-es use-wish"
"Me sorprendió que los precios <b>fueran</b> tan altos.<br><i>Imperfecto de subjuntivo</i>","I was surprised that prices <b>were</b> so high.<br><span style='font-size:85%'>ser — to be · ellos · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-emotion"
"I didn't think <b>they'd go</b> all the way to Galicia by car.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(ir · ellos)</span>","No pensaba que <b>fueran</b> hasta Galicia en coche.<br><span style='font-size:85%'>ir — to go · ellos · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-doubt"
"Si <b>tuviera</b> más tiempo libre, me apuntaría a clases de guitarra.<br><i>Imperfecto de subjuntivo</i>","If <b>I had</b> more free time, I'd sign up for guitar lessons.<br><span style='font-size:85%'>tener — to have · yo · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular es-en use-si-clause"
"I wish <b>I had</b> a flat with a terrace.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(tener · yo)</span>","Ojalá <b>tuviera</b> un piso con terraza.<br><span style='font-size:85%'>tener — to have · yo · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo irregular en-es use-ojala"
"Me dio mucha pena que <b>tuvieras</b> que irte tan pronto.<br><i>Imperfecto de subjuntivo</i>","I was really sorry that <b>you had</b> to leave so early.<br><span style='font-size:85%'>tener — to have · tú · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-emotion"
"You're acting as if <b>you had</b> something to hide.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(tener · tú)</span>","Actúas como si <b>tuvieras</b> algo que esconder.<br><span style='font-size:85%'>tener — to have · tú · <i>como si: as if</i></span>","imperfecto-subjuntivo irregular en-es use-como-si"
"No creía que el restaurante <b>tuviera</b> opciones veganas.<br><i>Imperfecto de subjuntivo</i>","I didn't think the restaurant <b>would have</b> vegan options.<br><span style='font-size:85%'>tener — to have · él · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-doubt"
"We were looking for a flat that <b>had</b> a lift.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(tener · él)</span>","Buscábamos un piso que <b>tuviera</b> ascensor.<br><span style='font-size:85%'>tener — to have · él · <i>unknown or hypothetical antecedent (past)</i></span>","imperfecto-subjuntivo irregular en-es use-relative"
"Si <b>tuviéramos</b> coche, iríamos a la sierra los fines de semana.<br><i>Imperfecto de subjuntivo</i>","If <b>we had</b> a car, we'd go to the mountains at weekends.<br><span style='font-size:85%'>tener — to have · nosotros · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular es-en use-si-clause"
"It was a shame that <b>we had</b> to cancel the trip.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(tener · nosotros)</span>","Fue una pena que <b>tuviéramos</b> que cancelar el viaje.<br><span style='font-size:85%'>tener — to have · nosotros · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-emotion"
"Os llamé para que <b>tuvierais</b> tiempo de prepararos.<br><i>Imperfecto de subjuntivo</i>","I rang you guys so that <b>you'd have</b> time to get ready.<br><span style='font-size:85%'>tener — to have · vosotros · <i>para que / antes de que / sin que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-purpose"
"I didn't think <b>you two had</b> enough money for the trip.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(tener · vosotros)</span>","No creía que <b>tuvierais</b> suficiente dinero para el viaje.<br><span style='font-size:85%'>tener — to have · vosotros · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-doubt"
"Ojalá mis hijos <b>tuvieran</b> un poco más de paciencia.<br><i>Imperfecto de subjuntivo</i>","I wish my kids <b>had</b> a bit more patience.<br><span style='font-size:85%'>tener — to have · ellos · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo irregular es-en use-ojala"
"The coach wanted the players <b>to have</b> a day off before the match.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(tener · ellos)</span>","El entrenador quería que los jugadores <b>tuvieran</b> un día libre antes del partido.<br><span style='font-size:85%'>tener — to have · ellos · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo irregular en-es use-wish"
"Me miraban como si <b>estuviera</b> loco.<br><i>Imperfecto de subjuntivo</i>","They were looking at me as if <b>I was</b> mad.<br><span style='font-size:85%'>estar — to be (state, location) · yo · <i>como si: as if</i></span>","imperfecto-subjuntivo irregular es-en use-como-si"
"If <b>I were</b> in your shoes, I'd talk to her.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(estar · yo)</span>","Si <b>estuviera</b> en tu lugar, hablaría con ella.<br><span style='font-size:85%'>estar — to be (state, location) · yo · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular en-es use-si-clause"
"Me alegré mucho de que <b>estuvieras</b> en la boda.<br><i>Imperfecto de subjuntivo</i>","I was really glad <b>you were</b> at the wedding.<br><span style='font-size:85%'>estar — to be (state, location) · tú · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-emotion"
"I wish <b>you were</b> here with us.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(estar · tú)</span>","Ojalá <b>estuvieras</b> aquí con nosotros.<br><span style='font-size:85%'>estar — to be (state, location) · tú · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo irregular en-es use-ojala"
"Dudaba que el museo <b>estuviera</b> abierto un lunes.<br><i>Imperfecto de subjuntivo</i>","I doubted the museum <b>would be</b> open on a Monday.<br><span style='font-size:85%'>estar — to be (state, location) · él · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-doubt"
"The doctor wanted <b>her to stay</b> in bed for a week.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(estar · ella)</span>","El médico quería que <b>estuviera</b> una semana en cama.<br><span style='font-size:85%'>estar — to be (state, location) · ella · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo irregular en-es use-wish"
